Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Onions, raw, red",197,g,1 Onion

Nutrient,Amount,Unit,DV
"Vitamin C [Ascorbic acid]",16.0,mg,18 %
"Biotin [Vitamin B7]",0.00,mcg,0 %
"Calcium, Ca",33.49,mg,3 %
"Copper, Cu",0.11,mg,12 %
"Iodine, I",0.00,mcg,0 %
"Iron, Fe",0.47,mg,3 %
"Magnesium, Mg",22.46,mg,6 %
"Manganese, Mn",0.234,mg,10 %
"Phosphorus, P",80.77,mg,12 %
"Potassium, K",388.09,mg,8 %
"Selenium, Se",0.98,mcg,2 %
"Sodium, Na",1.97,mg,0 %
"Zinc, Zn",0.33,mg,3 %
"Protein",1.85,g,4 %
"Carbohydrate",19.56,g,7 %
"Fiber",4.33,g,15 %
"Fructose",3.53,g,
"Glucose",4.51,g,
"Lactose",0.00,g,
"Maltose",0.00,g,
"Sucrose",3.31,g,
"Net carbs",15.23,g,
"Fat",0.197,g,0 %
"Ash",0.85,g,
"Water",174.54,g,

* DV is based on 2000 calories diet.
